"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"149","Football","Entity","Tulsa University Football","http://www.sportsfangraph.com/team/tulsa-university-football",2012-12-06,"Rank",149,NA
"150","Football","Entity","University of Nevada Foot...","http://www.sportsfangraph.com/team/university-of-nevada-football",2012-12-06,"Rank",150,NA
"151","Football","Entity","Florida Atlantic Universi...","http://www.sportsfangraph.com/team/florida-atlantic-university-football",2012-12-06,"Rank",151,NA
"152","Football","Entity","Western Michigan Universi...","http://www.sportsfangraph.com/team/western-michigan-university-football",2012-12-06,"Rank",152,NA
"153","Football","Entity","AFL Player's Association","http://www.sportsfangraph.com/team/afl-players-association",2012-12-06,"Rank",153,NA
"154","Football","Entity","Washington State Universi...","http://www.sportsfangraph.com/team/washington-state-university-football",2012-12-06,"Rank",154,NA
"155","Football","Entity","Navy Football","http://www.sportsfangraph.com/team/navy-football",2012-12-06,"Rank",155,NA
"156","Football","Entity","Bowling Green State Unive...","http://www.sportsfangraph.com/team/bowling-green-state-university-football",2012-12-06,"Rank",156,NA
"157","Football","Entity","University of Notre Dame ...","http://www.sportsfangraph.com/team/university-of-notre-dame-football",2012-12-06,"Rank",157,NA
"158","Football","Entity","Army Football","http://www.sportsfangraph.com/team/army-football",2012-12-06,"Rank",158,NA
"159","Football","Entity","Ball State University Foo...","http://www.sportsfangraph.com/team/ball-state-university-football",2012-12-06,"Rank",159,NA
"160","Football","Entity","University of Akron Footb...","http://www.sportsfangraph.com/team/university-of-akron-football",2012-12-06,"Rank",160,NA
"161","Football","Entity","Temple University Footbal...","http://www.sportsfangraph.com/team/temple-university-football",2012-12-06,"Rank",161,NA
"162","Football","Entity","Virginia Destroyers","http://www.sportsfangraph.com/team/virginia-destroyers",2012-12-06,"Rank",162,NA
"163","Football","Entity","Boston College Football","http://www.sportsfangraph.com/team/boston-college-football",2012-12-06,"Rank",163,NA
"164","Football","Entity","University of Buffalo Foo...","http://www.sportsfangraph.com/team/university-of-buffalo-football",2012-12-06,"Rank",164,NA
"165","Football","Entity","Miami University of Ohio ...","http://www.sportsfangraph.com/team/miami-university-of-ohio-football",2012-12-06,"Rank",165,NA
"166","Football","Entity","Kent State University Foo...","http://www.sportsfangraph.com/team/kent-state-university-football",2012-12-06,"Rank",166,NA
"167","Football","Entity","University of Alabama Foo...","http://www.sportsfangraph.com/team/university-of-alabama-football",2012-12-06,"Rank",167,NA
"168","Football","Entity","Ohio University Football","http://www.sportsfangraph.com/team/ohio-university-football",2012-12-06,"Rank",168,NA
"169","Football","Entity","University of Arizona Foo...","http://www.sportsfangraph.com/team/university-of-arizona-football",2012-12-06,"Rank",169,NA
"170","Football","Entity","Northern Illinois Univers...","http://www.sportsfangraph.com/team/northern-illinois-university-football",2012-12-06,"Rank",170,NA
"171","Football","Entity","Duke University Football","http://www.sportsfangraph.com/team/duke-university-football",2012-12-06,"Rank",171,NA
"172","Football","Entity","Wake Forest University Fo...","http://www.sportsfangraph.com/team/wake-forest-university-football",2012-12-06,"Rank",172,NA
"173","Football","Entity","Central Michigan Universi...","http://www.sportsfangraph.com/team/central-michigan-university-football",2012-12-06,"Rank",173,NA
"174","Football","Entity","University of Colorado Fo...","http://www.sportsfangraph.com/team/university-of-colorado-football",2012-12-06,"Rank",174,NA
"175","Football","Entity","Oklahoma University Footb...","http://www.sportsfangraph.com/team/oklahoma-university-football",2012-12-06,"Rank",175,NA
"176","Football","Entity","University of Texas Footb...","http://www.sportsfangraph.com/team/university-of-texas-football",2012-12-06,"Rank",176,NA
"177","Football","Entity","University of Connecticut...","http://www.sportsfangraph.com/team/university-of-connecticut-football",2012-12-06,"Rank",177,NA
"178","Football","Entity","Syracuse University Footb...","http://www.sportsfangraph.com/team/syracuse-university-football",2012-12-06,"Rank",178,NA
"179","Football","Entity","Indiana University Footba...","http://www.sportsfangraph.com/team/indiana-university-football",2012-12-06,"Rank",179,NA
"180","Football","Entity","East Carolina University ...","http://www.sportsfangraph.com/team/east-carolina-university-football",2012-12-06,"Rank",180,NA
"181","Football","Entity","Marshall University Footb...","http://www.sportsfangraph.com/team/marshall-university-football",2012-12-06,"Rank",181,NA
"182","Football","Entity","University of Memphis Foo...","http://www.sportsfangraph.com/team/university-of-memphis-football",2012-12-06,"Rank",182,NA
"183","Football","Entity","Rice University Football","http://www.sportsfangraph.com/team/rice-university-football",2012-12-06,"Rank",183,NA
"184","Football","Entity","University of Alabama - B...","http://www.sportsfangraph.com/team/university-of-alabama---birmingham-football",2012-12-06,"Rank",184,NA
"185","Football","Entity","University of Texas - El ...","http://www.sportsfangraph.com/team/university-of-texas---el-paso-football",2012-12-06,"Rank",185,NA
"186","Football","Entity","Air Force Academy Footbal...","http://www.sportsfangraph.com/team/air-force-academy-football",2012-12-06,"Rank",186,NA
"187","Football","Entity","Brigham Young University ...","http://www.sportsfangraph.com/team/brigham-young-university-football",2012-12-06,"Rank",187,NA
"188","Football","Entity","University of New Mexico ...","http://www.sportsfangraph.com/team/university-of-new-mexico-football",2012-12-06,"Rank",188,NA
