Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
137,5,Jesse Williams,DT,Seattle Seahawks,Seattle Seahawks,University of Alabama,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,85.5,6.25,323,4.94,30,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Jesse_Williams_(American_football),live.dbpedia.org/data/Jesse_Williams_(American_football).json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
138,5,Tharold Simon,CB,Seattle Seahawks,Seattle Seahawks,Louisiana State University,Southeastern Conference,Division I,General Studies,General Studies,2013,70,6.17,202,4.51,9,34,128,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Tharold_Simon,live.dbpedia.org/data/Tharold_Simon.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
139,5,Montori Hughes,DT,Indianapolis Colts,Indianapolis Colts,University of Tennessee at Martin,Ohio Valley Conference,Division I-AA,Arts & Sciences,General Studies,2013,68.7,6.33,329,5.23,22,26.5,104,4.7,7.85,NA,http://live.dbpedia.org/resource/University_of_Tennessee-Martin,http://live.dbpedia.org/data/University_of_Tennessee-Martin.json,Ohio Valley Conference,http://live.dbpedia.org/resource/Ohio_Valley_Conference,http://live.dbpedia.org/data/Ohio_Valley_Conference.json,live.dbpedia.org/resource/Montori_Hughes,live.dbpedia.org/data/Montori_Hughes.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
140,5,Stepfan Taylor,RB,Arizona Cardinals,Arizona Cardinals,Stanford University,Pacific-12 Conference,Division I,Information Science and Technology In Society,Science and Technology,2013,75.6,5.75,214,4.76,17,30,110,4.5,7.13,NA,http://live.dbpedia.org/resource/Stanford_University,http://live.dbpedia.org/data/Stanford_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Stepfan_Taylor,live.dbpedia.org/data/Stepfan_Taylor.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
141,5,Oday Aboushi,OT,New York Jets,New York Jets,University of Virginia,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,78.1,6.42,308,5.45,17,23.5,100,4.84,7.92,NA,http://live.dbpedia.org/resource/University_of_Virginia,http://live.dbpedia.org/data/University_of_Virginia.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Oday_Aboushi,live.dbpedia.org/data/Oday_Aboushi.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
142,5,Lavar Edwards,DE,Tennessee Titans,Tennessee Titans,Louisiana State University,Southeastern Conference,Division I,General Studies,General Studies,2013,68.7,6.33,277,4.8,NA,33,119,4.51,7.03,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Lavar_Edwards,live.dbpedia.org/data/Lavar_Edwards.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
143,5,Jonathan Meeks,SS,Buffalo Bills,Buffalo Bills,Clemson University,Atlantic Coast Conference,Division I,Sociology,Sociology,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Clemson_University,http://live.dbpedia.org/data/Clemson_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Jonathan_Meeks,live.dbpedia.org/data/Jonathan_Meeks.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
144,5,Kenny Stills,WR,New Orleans Saints,New Orleans Saints,University of Oklahoma,Big 12 Conference,Division I,Broadcasting and Electronic Media,"Broadcasting, Journalism & Media",2013,66,6,194,4.38,16,33.5,124,4.35,NA,NA,http://live.dbpedia.org/resource/University_of_Oklahoma,http://live.dbpedia.org/data/University_of_Oklahoma.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Kenny_Stills,live.dbpedia.org/data/Kenny_Stills.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
145,5,Steve Williams,CB,San Diego Chargers,San Diego Chargers,"University of California, Berkeley",Pacific-12 Conference,Division I,Sociology,Sociology,2013,59,5.75,181,4.42,12,40.5,128,4.1,6.89,NA,http://live.dbpedia.org/resource/University_of_California%2C_Berkeley,http://live.dbpedia.org/data/University_of_California%2C_Berkeley.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Steve_Williams_(cornerback),live.dbpedia.org/data/Steve_Williams_(cornerback).json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
146,5,Quanterus Smith,DE,Denver Broncos,Denver Broncos,Western Kentucky University,Sun Belt Conference,Division I,Recreation,"Leisure, Sport, Recreation Studies and Management",2013,75.7,6.42,250,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Western_Kentucky_University,http://live.dbpedia.org/data/Western_Kentucky_University.json,Sun Belt Conference,http://live.dbpedia.org/resource/Sun_Belt_Conference,http://live.dbpedia.org/data/Sun_Belt_Conference.json,live.dbpedia.org/resource/Quanterus_Smith,live.dbpedia.org/data/Quanterus_Smith.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
147,5,Steven Means,DE,Tampa Bay Buccaneers,Tampa Bay Buccaneers,University of Buffalo,Mid-American Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,NA,6.33,260,NA,NA,NA,NA,NA,NA,NA,"http://live.dbpedia.org/resource/University_at_Buffalo,_The_State_University_of_New_York","http://live.dbpedia.org/data/University_at_Buffalo,_The_State_University_of_New_York.json",Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Steven_Means,live.dbpedia.org/data/Steven_Means.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
148,5,A.J. Klein,ILB,Carolina Panthers,Carolina Panthers,Iowa State University,Big 12 Conference,Division I,Physical Therapy,"Physical Therapy, Sports Science, Kinesiology",2013,56.3,6.08,250,4.66,20,NA,113,NA,NA,NA,http://live.dbpedia.org/resource/Iowa_State_University,http://live.dbpedia.org/data/Iowa_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/A._J._Klein,live.dbpedia.org/data/A._J._Klein.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
149,5,Brandon McGee,CB,St. Louis Rams,St. Louis Rams,University of Miami,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,60.1,5.92,193,4.4,14,33.5,119,4.18,6.71,NA,http://live.dbpedia.org/resource/University_of_Miami,http://live.dbpedia.org/data/University_of_Miami.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Brandon_McGee,live.dbpedia.org/data/Brandon_McGee.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
150,5,Terry Hawthorne,CB,Pittsburgh Steelers,Pittsburgh Steelers,University of Illinois at Urbana-Champaign,Big Ten Conference,Division I,General Studies,General Studies,2013,69,6,195,4.44,13,35.5,116,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,http://live.dbpedia.org/data/University_of_Illinois_at_Urbana-Champaign.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Terry_Hawthorne,live.dbpedia.org/data/Terry_Hawthorne.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
151,5,Joseph Randle,RB,Dallas Cowboys,Dallas Cowboys,Oklahoma State University at Stillwater,Big 12 Conference,Division I,Economics,Economics,2013,80.6,6,204,4.63,NA,35,123,NA,NA,NA,http://live.dbpedia.org/resource/Oklahoma_State_University%E2%80%93Stillwater,http://live.dbpedia.org/data/Oklahoma_State_University%E2%80%93Stillwater.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Joseph_Randle,live.dbpedia.org/data/Joseph_Randle.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
152,5,Cooper Taylor,SS,New York Giants,New York Giants,University of Richmond,Colonial Athletic Association,Division I-AA,Undisclosed,Undeclared/Undisclosed,2013,NA,6.33,228,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Richmond,http://live.dbpedia.org/data/University_of_Richmond.json,Colonial Athletic Association,http://live.dbpedia.org/resource/Colonial_Athletic_Association,http://live.dbpedia.org/data/Colonial_Athletic_Association.json,live.dbpedia.org/resource/Cooper_Taylor,live.dbpedia.org/data/Cooper_Taylor.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
153,5,Stansly Maponga,DE,Atlanta Falcons,Atlanta Falcons,Texas Christian University,Big 12 Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,68,6.17,256,4.78,30,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Texas_Christian_University,http://live.dbpedia.org/data/Texas_Christian_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Stansly_Maponga,live.dbpedia.org/data/Stansly_Maponga.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
154,5,Chris Thompson,RB,Washington Redskins,Washington Redskins,Florida State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,52,5.58,192,4.42,21,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Chris_Thompson_(running_back),live.dbpedia.org/data/Chris_Thompson_(running_back).json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
155,5,Jeff Locke,P,Minnesota Vikings,Minnesota Vikings,"University of California, Los Angeles",Pacific-12 Conference,Division I,Economics,Economics,2013,NA,6,209,NA,NA,NA,NA,NA,NA,NA,"http://live.dbpedia.org/resource/University_of_California,_Los_Angeles","http://live.dbpedia.org/data/University_of_California,_Los_Angeles.json",Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Jeff_Locke_(American_football),live.dbpedia.org/data/Jeff_Locke_(American_football).json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
156,5,Tanner Hawkinson,OT,Cincinnati Bengals,Cincinnati Bengals,University of Kansas,Big 12 Conference,Division I,Sports Management,"Leisure, Sport, Recreation Studies and Management",2013,54.6,6.42,298,5.07,NA,28.5,112,4.51,7.52,NA,http://live.dbpedia.org/resource/University_of_Kansas,http://live.dbpedia.org/data/University_of_Kansas.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Tanner_Hawkinson,live.dbpedia.org/data/Tanner_Hawkinson.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
157,5,Quinton Dial,DE,San Francisco 49ers,San Francisco 49ers,University of Alabama,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,55.8,6.42,318,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Quinton_Dial,live.dbpedia.org/data/Quinton_Dial.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
158,5,Luke Willson,TE,Seattle Seahawks,Seattle Seahawks,Rice University,Conference USA,Division I,Political Science,Political Science,2013,NA,6.42,250,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Rice_University,http://live.dbpedia.org/data/Rice_University.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Luke_Willson,live.dbpedia.org/data/Luke_Willson.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
159,5,Micah Hyde,CB,Green Bay Packers,Green Bay Packers,University of Iowa,Big Ten Conference,Division I,Leisure Studies,"Leisure, Sport, Recreation Studies and Management",2013,61.7,6,197,4.56,12,33,121,4.2,6.78,NA,http://live.dbpedia.org/resource/University_of_Iowa,http://live.dbpedia.org/data/University_of_Iowa.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Micah_Hyde_(American_football),live.dbpedia.org/data/Micah_Hyde_(American_football).json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
160,5,Zac Stacy,RB,St. Louis Rams,St. Louis Rams,Vanderbilt University,Southeastern Conference,Division I,Special Education,Education,2013,69,5.67,216,4.55,27,33,122,4.17,6.7,NA,http://live.dbpedia.org/resource/Vanderbilt_University,http://live.dbpedia.org/data/Vanderbilt_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Zac_Stacy,live.dbpedia.org/data/Zac_Stacy.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
161,5,Tavarres King,WR,Denver Broncos,Denver Broncos,University of Georgia,Southeastern Conference,Division I,Geography,"History, Geography",2013,69.8,6,189,4.47,11,36.5,123,4.33,6.91,NA,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Tavarres_King,live.dbpedia.org/data/Tavarres_King.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
